;**************************************************************
; Registers.dat		table of registers for the Dis++ library
;	
; The columns are:
; register name, disassembler class, register encoding
; encoding (binary and hex formats)
;**************************************************************

; General-purpose registers (32-bit) 
q2						Neon128				0b00010
q3						Neon128				0b00011
q4						Neon128				0b00100
q5						Neon128				0b00101
q6						Neon128				0b00110
q7						Neon128				0b00111
q8						Neon128				0b01000
q9						Neon128				0b01001
q10						Neon128				0b01010
q11						Neon128				0b01011
q12						Neon128				0b01100
q13						Neon128				0b01101
q14						Neon128				0b01110
q15						Neon128				0b01111
q16						Neon128				0b10000
q17						Neon128				0b10001
q18						Neon128				0b10010
q19						Neon128				0b10011
q20						Neon128				0b10100
q21						Neon128				0b10101
q22						Neon128				0b10110
q23						Neon128				0b10111
q24						Neon128				0b11000
q25						Neon128				0b11001
q26						Neon128				0b11010
q27						Neon128				0b11011
q28						Neon128				0b11100
q29						Neon128				0b11101
q30						Neon128				0b11110
q31                		Neon128				0b11111

; Neon registers - 128-bit (v)
v0						Neon128v			0b00000
v1						Neon128v			0b00001
v2						Neon128v			0b00010
v3						Neon128v			0b00011
v4						Neon128v			0b00100
v5						Neon128v			0b00101
v6						Neon128v			0b00110
v7						Neon128v			0b00111
v8						Neon128v			0b01000
v9						Neon128v			0b01001
v10						Neon128v			0b01010
v11						Neon128v			0b01011
v12						Neon128v			0b01100
v13						Neon128v			0b01101
v14						Neon128v			0b01110
v15						Neon128v			0b01111
v16						Neon128v			0b10000
v17						Neon128v			0b10001
v18						Neon128v			0b10010
v19						Neon128v			0b10011
v20						Neon128v			0b10100
v21						Neon128v			0b10101
v22						Neon128v			0b10110
v23						Neon128v			0b10111
v24						Neon128v			0b11000
v25						Neon128v			0b11001
v26						Neon128v			0b11010
v27						Neon128v			0b11011
v28						Neon128v			0b11100
v29						Neon128v			0b11101
v30						Neon128v			0b11110
v31                     Neon128v			0b11111

; System registers
actlr_el1				SysReg				0xc081
actlr_el2				SysReg				0xe081
actlr_el3				SysReg				0xf081
afsr0_el1				SysReg				0xc288
afsr0_el12				SysReg				0xea88
afsr0_el2				SysReg				0xe288
afsr0_el3				SysReg				0xf288
afsr1_el1				SysReg				0xc289
afsr1_el12				SysReg				0xea89
afsr1_el2				SysReg				0xe289
afsr1_el3				SysReg				0xf289
aidr_el1				SysReg				0xc807
amair_el1				SysReg				0xc518
amair_el12				SysReg				0xed18
amair_el2				SysReg				0xe518
amair_el3				SysReg				0xf518
amcfgr_el0				SysReg				0xde91
amcgcr_el0				SysReg				0xde92
amcntenclr0_el0			SysReg				0xde94
amcntenclr1_el0			SysReg				0xde98
amcntenset0_el0			SysReg				0xde95
amcntenset1_el0			SysReg				0xde99
amcr_el0				SysReg				0xde90
amuserenr_el0			SysReg				0xde93
apdakeyhi_el1			SysReg				0xc111
apdakeylo_el1			SysReg				0xc110
apdbkeyhi_el1			SysReg				0xc113
apdbkeylo_el1			SysReg				0xc112
apgakeyhi_el1			SysReg				0xc119
apgakeylo_el1			SysReg				0xc118
apiakeyhi_el1			SysReg				0xc109
apiakeylo_el1			SysReg				0xc108
apibkeyhi_el1			SysReg				0xc10b
apibkeylo_el1			SysReg				0xc10a
ccsidr2_el1				SysReg				0xc802
ccsidr_el1				SysReg				0xc800
clidr_el1				SysReg				0xc801
